,Base_Bid,Impressions,Spend,Clicks,CTR,CPM,CPC
0,1,1657,6699,6,0.0036,4.04,1116.5
1,2,5544,36876,11,0.002,6.65,3352.36
2,3,10293,100308,12,0.0012,9.75,8359.0
3,4,16323,210285,20,0.0012,12.88,10514.25
4,5,23354,371539,25,0.0011,15.91,14861.56
5,6,30464,567314,43,0.0014,18.62,13193.35
6,7,37783,815594,63,0.0017,21.59,12945.94
7,8,45247,1115495,73,0.0016,24.65,15280.75
8,9,52854,1457219,84,0.0016,27.57,17347.85
9,10,60057,1807022,100,0.0017,30.09,18070.22
10,11,67179,2173377,113,0.0017,32.35,19233.42
11,12,73998,2551031,121,0.0016,34.47,21082.9
12,13,80559,2938651,131,0.0016,36.48,22432.45
13,14,86836,3336277,141,0.0016,38.42,23661.54
14,15,92974,3745092,145,0.0016,40.28,25828.22
15,16,98975,4172748,149,0.0015,42.16,28005.02
16,17,104797,4614990,153,0.0015,44.04,30163.33
17,18,110333,5063996,158,0.0014,45.9,32050.61
18,19,115773,5525421,162,0.0014,47.73,34107.54
19,20,121007,5990233,164,0.0014,49.5,36525.81
20,21,125936,6451528,166,0.0013,51.23,38864.63
21,22,130782,6929666,172,0.0013,52.99,40288.76
22,23,135589,7413886,178,0.0013,54.68,41651.04
23,24,140143,7895416,180,0.0013,56.34,43863.42
24,25,144445,8363692,183,0.0013,57.9,45703.23
25,26,148678,8826948,185,0.0012,59.37,47713.23
26,27,152628,9263125,190,0.0012,60.69,48753.29
27,28,156426,9684524,191,0.0012,61.91,50704.31
28,29,160105,10092854,194,0.0012,63.04,52025.02
29,30,163483,10462277,198,0.0012,64.0,52839.78
30,31,166709,10820419,200,0.0012,64.91,54102.1
31,32,169805,11151783,201,0.0012,65.67,55481.51
32,33,172694,11463609,202,0.0012,66.38,56750.54
33,34,175468,11743108,205,0.0012,66.92,57283.45
34,35,178205,12028642,205,0.0012,67.5,58676.3
35,36,180732,12290101,207,0.0011,68.0,59372.47
36,37,183191,12549075,210,0.0011,68.5,59757.5
37,38,185615,12793406,210,0.0011,68.92,60920.98
38,39,187853,13026382,210,0.0011,69.34,62030.39
39,40,190149,13266139,210,0.0011,69.77,63172.09
40,41,192227,13475248,211,0.0011,70.1,63863.73
41,42,194276,13691411,213,0.0011,70.47,64278.92
42,43,196223,13887803,213,0.0011,70.78,65200.95
43,44,198119,14077918,214,0.0011,71.06,65784.66
44,45,199957,14259940,214,0.0011,71.32,66635.23
45,46,201793,14440554,214,0.0011,71.56,67479.22
46,47,203463,14608375,215,0.0011,71.8,67945.93
47,48,205174,14779383,216,0.0011,72.03,68423.07
48,49,206803,14938568,216,0.001,72.24,69160.04
49,50,208441,15103490,216,0.001,72.46,69923.56
50,51,209989,15256299,216,0.001,72.65,70631.01
51,52,211472,15401304,217,0.001,72.83,70973.75
52,53,212886,15542797,218,0.001,73.01,71297.23
53,54,214355,15687382,218,0.001,73.18,71960.47
54,55,215753,15824877,219,0.001,73.35,72259.71
55,56,217127,15959154,219,0.001,73.5,72872.85
56,57,218452,16090341,219,0.001,73.66,73471.88
57,58,219727,16212894,219,0.001,73.79,74031.48
58,59,221001,16334487,219,0.001,73.91,74586.7
59,60,222178,16450953,219,0.001,74.04,75118.51
60,61,223345,16566214,219,0.001,74.17,75644.81
61,62,224492,16676882,219,0.001,74.29,76150.15
62,63,225678,16792780,220,0.001,74.41,76330.82
63,64,226818,16905259,220,0.001,74.53,76842.09
64,65,227911,17011892,220,0.001,74.64,77326.78
65,66,228996,17118616,220,0.001,74.76,77811.89
66,67,230028,17219743,220,0.001,74.86,78271.56
67,68,231018,17315548,220,0.001,74.95,78707.04
68,69,231975,17407503,221,0.001,75.04,78766.98
69,70,232902,17493849,221,0.0009,75.11,79157.69
70,71,233899,17590166,221,0.0009,75.2,79593.51
71,72,234814,17677981,221,0.0009,75.29,79990.86
72,73,235721,17766903,221,0.0009,75.37,80393.23
73,74,236561,17849168,221,0.0009,75.45,80765.47
74,75,237404,17928746,221,0.0009,75.52,81125.55
75,76,238218,18005143,222,0.0009,75.58,81104.25
76,77,239038,18083632,222,0.0009,75.65,81457.8
77,78,239835,18157954,223,0.0009,75.71,81425.8
78,79,240621,18233198,223,0.0009,75.78,81763.22
79,80,241369,18304399,223,0.0009,75.84,82082.51
80,81,242121,18376975,224,0.0009,75.9,82040.07
81,82,242845,18447610,224,0.0009,75.96,82355.4
82,83,243588,18519902,224,0.0009,76.03,82678.13
83,84,244281,18589184,224,0.0009,76.1,82987.43
84,85,244966,18653359,224,0.0009,76.15,83273.92
85,86,245643,18718486,224,0.0009,76.2,83564.67
86,87,246333,18785164,224,0.0009,76.26,83862.34
87,88,247040,18852928,224,0.0009,76.32,84164.86
88,89,247720,18918767,224,0.0009,76.37,84458.78
89,90,248328,18974336,224,0.0009,76.41,84706.86
90,91,248936,19033181,224,0.0009,76.46,84969.56
91,92,249548,19091625,224,0.0009,76.5,85230.47
92,93,250101,19144522,224,0.0009,76.55,85466.62
93,94,250699,19204174,224,0.0009,76.6,85732.92
94,95,251310,19260357,224,0.0009,76.64,85983.74
95,96,251909,19317154,224,0.0009,76.68,86237.29
96,97,252451,19369144,224,0.0009,76.72,86469.39
97,98,253032,19427704,224,0.0009,76.78,86730.82
98,99,253575,19477883,224,0.0009,76.81,86954.83
99,100,254141,19534748,225,0.0009,76.87,86821.1
